,floor,eggs = 1,eggs = 2
0,10,3814.697265625,24795.5322265625
1,100,15974.044799804688,1219987.8692626953
2,1000,70095.06225585938,87479114.5324707
3,10000,1003026.9622802734,7770957946.777344
